n_estimators,max_features,sample_split,train_acc,val_acc,test_acc,oob_score
50,0.1,2,96.276,88.501,87.812,88.5949
50,0.1,4,94.578,89.164,88.52,89.2059
50,0.1,6,93.389,89.429,88.985,89.6566
50,0.1,8,92.745,89.474,89.228,89.6677
50,0.1,10,92.355,89.628,89.427,89.8944
50,0.30000000000000004,2,96.273,88.589,87.613,88.3543
50,0.30000000000000004,4,95.032,89.275,88.365,89.0511
50,0.30000000000000004,6,94.083,89.562,88.454,89.3414
50,0.30000000000000004,8,93.444,89.916,88.874,89.7313
50,0.30000000000000004,10,93.041,89.828,89.206,89.7257
50,0.5000000000000001,2,96.262,88.655,87.79,88.4262
50,0.5000000000000001,4,95.275,89.429,88.144,88.9018
50,0.5000000000000001,6,94.332,89.717,88.786,89.2391
50,0.5000000000000001,8,93.713,89.783,88.83,89.5377
50,0.5000000000000001,10,93.226,89.739,88.918,89.6345
50,0.7000000000000001,2,96.259,88.479,87.459,88.1995
50,0.7000000000000001,4,95.341,89.319,88.454,88.7774
50,0.7000000000000001,6,94.387,89.805,88.432,89.029
50,0.7000000000000001,8,93.829,89.783,88.542,89.3608
50,0.7000000000000001,10,93.345,89.938,88.675,89.5377
50,0.9000000000000001,2,96.248,88.545,87.503,88.1138
50,0.9000000000000001,4,95.33,88.965,88.188,88.8216
50,0.9000000000000001,6,94.495,89.407,88.454,89.076
50,0.9000000000000001,8,93.854,89.606,88.52,89.4271
50,0.9000000000000001,10,93.439,89.938,89.007,89.4962
150,0.1,2,96.287,88.655,88.1,88.5396
150,0.1,4,94.633,89.186,88.498,89.2668
150,0.1,6,93.395,89.496,89.007,89.6704
150,0.1,8,92.806,89.739,89.162,89.8059
150,0.1,10,92.366,89.695,89.361,89.8557
150,0.30000000000000004,2,96.287,88.722,87.635,88.5894
150,0.30000000000000004,4,95.153,89.429,88.388,89.123
150,0.30000000000000004,6,94.072,89.828,88.719,89.5267
150,0.30000000000000004,8,93.497,90.115,88.896,89.7285
150,0.30000000000000004,10,93.138,90.027,88.963,89.7672
150,0.5000000000000001,2,96.287,88.899,88.012,88.5479
150,0.5000000000000001,4,95.361,89.341,88.41,89.1285
150,0.5000000000000001,6,94.362,89.85,88.653,89.4188
150,0.5000000000000001,8,93.704,89.894,88.874,89.582
150,0.5000000000000001,10,93.317,89.894,88.83,89.6566
150,0.7000000000000001,2,96.287,88.766,87.724,88.4594
150,0.7000000000000001,4,95.49,89.275,87.967,88.9267
150,0.7000000000000001,6,94.481,89.761,88.454,89.3718
150,0.7000000000000001,8,93.876,89.783,88.697,89.5405
150,0.7000000000000001,10,93.384,89.739,88.786,89.629
150,0.9000000000000001,2,96.287,88.7,87.68,88.3267
150,0.9000000000000001,4,95.49,89.164,87.989,88.8824
150,0.9000000000000001,6,94.531,89.474,88.564,89.3331
150,0.9000000000000001,8,93.873,89.739,88.631,89.4824
150,0.9000000000000001,10,93.472,90.004,88.808,89.5847
250,0.1,2,96.287,88.655,88.078,88.7442
250,0.1,4,94.675,89.385,88.697,89.3248
250,0.1,6,93.367,89.606,89.051,89.7091
250,0.1,8,92.786,89.673,89.184,89.8557
250,0.1,10,92.388,89.628,89.294,89.8723
250,0.30000000000000004,2,96.287,89.054,87.79,88.7248
250,0.30000000000000004,4,95.167,89.518,88.255,89.2142
250,0.30000000000000004,6,94.053,89.783,88.587,89.5847
250,0.30000000000000004,8,93.461,89.872,88.874,89.7147
250,0.30000000000000004,10,93.038,90.004,89.051,89.7866
250,0.5000000000000001,2,96.287,88.965,87.79,88.523
250,0.5000000000000001,4,95.443,89.429,88.41,89.0926
250,0.5000000000000001,6,94.373,89.761,88.587,89.4161
250,0.5000000000000001,8,93.729,89.872,88.609,89.6483
250,0.5000000000000001,10,93.276,89.872,89.007,89.7285
250,0.7000000000000001,2,96.287,88.744,87.746,88.4788
250,0.7000000000000001,4,95.441,89.496,88.1,88.9654
250,0.7000000000000001,6,94.512,89.717,88.631,89.2916
250,0.7000000000000001,8,93.821,89.894,88.675,89.6013
250,0.7000000000000001,10,93.392,89.96,88.719,89.687
250,0.9000000000000001,2,96.287,88.678,87.923,88.3903
250,0.9000000000000001,4,95.507,89.142,88.343,88.9377
250,0.9000000000000001,6,94.537,89.739,88.697,89.2502
250,0.9000000000000001,8,93.881,90.049,88.653,89.4935
250,0.9000000000000001,10,93.431,89.916,88.896,89.6207
350,0.1,2,96.287,88.655,88.034,88.7414
350,0.1,4,94.595,89.208,88.808,89.3939
350,0.1,6,93.403,89.606,89.14,89.734
350,0.1,8,92.814,89.584,89.184,89.8114
350,0.1,10,92.435,89.673,89.317,89.8971
350,0.30000000000000004,2,96.287,88.987,87.702,88.6115
350,0.30000000000000004,4,95.192,89.429,88.255,89.1257
350,0.30000000000000004,6,94.058,89.761,88.609,89.5184
350,0.30000000000000004,8,93.48,89.916,88.985,89.7091
350,0.30000000000000004,10,93.124,89.938,89.073,89.8114
350,0.5000000000000001,2,96.287,88.81,87.989,88.5811
350,0.5000000000000001,4,95.388,89.518,88.233,89.0843
350,0.5000000000000001,6,94.346,89.717,88.719,89.4271
350,0.5000000000000001,8,93.679,89.872,88.786,89.6068
350,0.5000000000000001,10,93.331,89.894,88.83,89.7008
350,0.7000000000000001,2,96.287,88.788,88.034,88.4815
350,0.7000000000000001,4,95.466,89.452,88.255,89.0041
350,0.7000000000000001,6,94.528,89.805,88.653,89.3663
350,0.7000000000000001,8,93.845,89.938,88.631,89.5958
350,0.7000000000000001,10,93.461,89.894,88.741,89.5985
350,0.9000000000000001,2,96.287,88.788,87.835,88.5009
350,0.9000000000000001,4,95.537,89.098,88.233,88.8493
350,0.9000000000000001,6,94.509,89.761,88.609,89.2723
350,0.9000000000000001,8,93.881,89.96,88.609,89.582
350,0.9000000000000001,10,93.442,89.872,88.764,89.629
450,0.1,2,96.287,88.722,88.211,88.7884
450,0.1,4,94.664,89.208,88.697,89.3193
450,0.1,6,93.339,89.673,89.095,89.7257
450,0.1,8,92.822,89.651,89.162,89.8308
450,0.1,10,92.413,89.54,89.294,89.9248
450,0.30000000000000004,2,96.287,88.943,87.746,88.7
450,0.30000000000000004,4,95.225,89.496,88.188,89.2225
450,0.30000000000000004,6,94.094,89.761,88.564,89.5322
450,0.30000000000000004,8,93.491,89.894,89.029,89.7755
450,0.30000000000000004,10,93.074,90.093,89.25,89.8612
450,0.5000000000000001,2,96.287,88.987,87.812,88.6308
450,0.5000000000000001,4,95.435,89.385,88.321,89.0926
450,0.5000000000000001,6,94.368,89.872,88.741,89.405
450,0.5000000000000001,8,93.704,89.828,88.741,89.6566
450,0.5000000000000001,10,93.339,89.916,88.963,89.7174
450,0.7000000000000001,2,96.287,88.81,87.923,88.5175
450,0.7000000000000001,4,95.482,89.385,88.321,88.9433
450,0.7000000000000001,6,94.498,89.828,88.631,89.3829
450,0.7000000000000001,8,93.851,89.894,88.631,89.5626
450,0.7000000000000001,10,93.403,90.049,88.764,89.687
450,0.9000000000000001,2,96.287,88.832,87.702,88.4428
450,0.9000000000000001,4,95.502,89.341,88.188,88.9101
450,0.9000000000000001,6,94.526,89.695,88.609,89.2474
450,0.9000000000000001,8,93.879,89.894,88.697,89.5792
450,0.9000000000000001,10,93.436,89.916,88.83,89.593
